ADU1,ADU2,ADU3,ADU4,ADU5,ADU6,ADU7,ADU8,Total_ADU,ADU_Label
1,1,1,2,2,2,5,5,19,0
1,1,1,2,2,3,3,3,16,0
1,1,1,2,2,3,3,4,17,0
1,1,1,2,2,3,3,5,18,0
1,1,1,2,2,3,4,4,18,0
1,1,1,2,2,3,4,5,19,0
1,1,1,2,2,3,5,5,20,0
1,1,1,2,2,4,4,4,19,0
1,1,1,2,2,4,4,5,20,0
1,1,1,2,2,4,5,5,21,0
1,1,1,2,2,5,5,5,22,0
1,1,1,2,3,3,3,3,17,0
1,1,1,2,3,3,3,4,18,0
1,1,1,2,3,3,3,5,19,0
1,1,1,2,3,3,4,4,19,0
1,1,1,2,3,3,4,5,20,0
1,1,1,2,3,3,5,5,21,0
1,1,1,2,3,4,4,4,20,0
1,1,1,2,3,4,4,5,21,0
1,1,1,2,3,4,5,5,22,0
1,1,1,2,3,5,5,5,23,0
1,1,1,2,4,4,4,4,21,0
1,1,1,2,4,4,4,5,22,0
1,1,1,2,4,4,5,5,23,0
1,1,1,2,4,5,5,5,24,0
1,1,1,2,5,5,5,5,25,1
1,1,1,3,3,3,3,3,18,0
1,1,1,3,3,3,3,4,19,0
1,1,1,3,3,3,3,5,20,0
1,1,1,3,3,3,4,4,20,0
1,1,1,3,3,3,4,5,21,0
1,1,1,3,3,3,5,5,22,0
1,1,1,3,3,4,4,4,21,0
1,1,1,3,3,4,4,5,22,0
1,1,1,3,3,4,5,5,23,0
1,1,1,3,3,5,5,5,24,0
1,1,1,3,4,4,4,4,22,0
1,1,1,3,4,4,4,5,23,0
1,1,1,3,4,4,5,5,24,0
1,1,1,3,4,5,5,5,25,1
1,1,1,3,5,5,5,5,26,1
1,1,1,4,4,4,4,4,23,0
1,1,1,4,4,4,4,5,24,0
1,1,1,4,4,4,5,5,25,1
1,1,1,4,4,5,5,5,26,1
1,1,1,4,5,5,5,5,27,1
1,1,1,5,5,5,5,5,28,1
1,1,2,2,2,2,2,2,14,0
1,1,2,2,2,2,2,3,15,0
1,1,2,2,2,2,2,4,16,0
1,1,2,2,2,2,2,5,17,0
1,1,2,2,2,2,3,3,16,0
1,1,2,2,2,2,3,4,17,0
1,1,2,2,2,2,3,5,18,0
1,1,2,2,2,2,4,4,18,0
1,1,2,2,2,2,4,5,19,0
1,1,2,2,2,2,5,5,20,0
1,1,2,2,2,3,3,3,17,0
1,1,2,2,2,3,3,4,18,0
1,1,2,2,2,3,3,5,19,0
1,1,2,2,2,3,4,4,19,0
1,1,2,2,2,3,4,5,20,0
1,1,2,2,2,3,5,5,21,0
1,1,2,2,2,4,4,4,20,0
1,1,2,2,2,4,4,5,21,0
1,1,2,2,2,4,5,5,22,0
1,1,2,2,2,5,5,5,23,0
1,1,2,2,3,3,3,3,18,0
1,1,2,2,3,3,3,4,19,0
1,1,2,2,3,3,3,5,20,0
1,1,2,2,3,3,4,4,20,0
1,1,2,2,3,3,4,5,21,0
1,1,2,2,3,3,5,5,22,0
1,1,2,2,3,4,4,4,21,0
1,1,2,2,3,4,4,5,22,0
1,1,2,2,3,4,5,5,23,0
1,1,2,2,3,5,5,5,24,0
1,1,2,2,4,4,4,4,22,0
1,1,2,2,4,4,4,5,23,0
1,1,2,2,4,4,5,5,24,0
1,1,2,2,4,5,5,5,25,1
1,1,2,2,5,5,5,5,26,1
1,1,2,3,3,3,3,3,19,0
1,1,2,3,3,3,3,4,20,0
1,1,2,3,3,3,3,5,21,0
1,1,2,3,3,3,4,4,21,0
1,1,2,3,3,3,4,5,22,0
1,1,2,3,3,3,5,5,23,0
1,1,2,3,3,4,4,4,22,0
1,1,2,3,3,4,4,5,23,0
1,1,2,3,3,4,5,5,24,0
1,1,2,3,3,5,5,5,25,1
1,1,2,3,4,4,4,4,23,0
1,1,2,3,4,4,4,5,24,0
1,1,2,3,4,4,5,5,25,1
1,1,2,3,4,5,5,5,26,1
1,1,2,3,5,5,5,5,27,1
1,1,2,4,4,4,4,4,24,0
1,1,2,4,4,4,4,5,25,1
1,1,2,4,4,4,5,5,26,1
1,1,2,4,4,5,5,5,27,1
1,1,2,4,5,5,5,5,28,1
1,1,2,5,5,5,5,5,29,1
1,1,3,3,3,3,3,3,20,0
1,1,3,3,3,3,3,4,21,0
1,1,3,3,3,3,3,5,22,0
1,1,3,3,3,3,4,4,22,0
1,1,3,3,3,3,4,5,23,0
1,1,3,3,3,3,5,5,24,0
1,1,3,3,3,4,4,4,23,0
1,1,3,3,3,4,4,5,24,0
1,1,3,3,3,4,5,5,25,1
1,1,3,3,3,5,5,5,26,1
1,1,3,3,4,4,4,4,24,0
1,1,3,3,4,4,4,5,25,1
1,1,3,3,4,4,5,5,26,1
1,1,3,3,4,5,5,5,27,1
1,1,3,3,5,5,5,5,28,1
1,1,3,4,4,4,4,4,25,1
1,1,3,4,4,4,4,5,26,1
1,1,3,4,4,4,5,5,27,1
1,1,3,4,4,5,5,5,28,1
1,1,3,4,5,5,5,5,29,1
1,1,3,5,5,5,5,5,30,1
1,1,4,4,4,4,4,4,26,1
1,1,4,4,4,4,4,5,27,1
1,1,4,4,4,4,5,5,28,1
1,1,4,4,4,5,5,5,29,1
1,1,4,4,5,5,5,5,30,1
1,1,4,5,5,5,5,5,31,1
1,1,5,5,5,5,5,5,32,1
1,2,2,2,2,2,2,2,15,0
1,2,2,2,2,2,2,3,16,0
1,2,2,2,2,2,2,4,17,0
1,2,2,2,2,2,2,5,18,0
1,2,2,2,2,2,3,3,17,0
1,2,2,2,2,2,3,4,18,0
1,2,2,2,2,2,3,5,19,0
1,2,2,2,2,2,4,4,19,0
1,2,2,2,2,2,4,5,20,0
1,2,2,2,2,2,5,5,21,0
1,2,2,2,2,3,3,3,18,0
1,2,2,2,2,3,3,4,19,0
1,2,2,2,2,3,3,5,20,0
1,2,2,2,2,3,4,4,20,0
1,2,2,2,2,3,4,5,21,0
1,2,2,2,2,3,5,5,22,0
1,2,2,2,2,4,4,4,21,0
1,2,2,2,2,4,4,5,22,0
1,2,2,2,2,4,5,5,23,0
1,2,2,2,2,5,5,5,24,0
1,2,2,2,3,3,3,3,19,0
1,2,2,2,3,3,3,4,20,0
1,2,2,2,3,3,3,5,21,0
1,2,2,2,3,3,4,4,21,0
1,2,2,2,3,3,4,5,22,0
1,2,2,2,3,3,5,5,23,0
1,2,2,2,3,4,4,4,22,0
1,2,2,2,3,4,4,5,23,0
1,2,2,2,3,4,5,5,24,0
1,2,2,2,3,5,5,5,25,1
1,2,2,2,4,4,4,4,23,0
1,2,2,2,4,4,4,5,24,0
1,2,2,2,4,4,5,5,25,1
1,2,2,2,4,5,5,5,26,1
1,2,2,2,5,5,5,5,27,1
1,2,2,3,3,3,3,3,20,0
1,2,2,3,3,3,3,4,21,0
1,2,2,3,3,3,3,5,22,0
1,2,2,3,3,3,4,4,22,0
1,2,2,3,3,3,4,5,23,0
1,2,2,3,3,3,5,5,24,0
1,2,2,3,3,4,4,4,23,0
1,2,2,3,3,4,4,5,24,0
1,2,2,3,3,4,5,5,25,1
1,2,2,3,3,5,5,5,26,1
1,2,2,3,4,4,4,4,24,0
1,2,2,3,4,4,4,5,25,1
1,2,2,3,4,4,5,5,26,1
1,2,2,3,4,5,5,5,27,1
1,2,2,3,5,5,5,5,28,1
1,2,2,4,4,4,4,4,25,1
1,2,2,4,4,4,4,5,26,1
1,2,2,4,4,4,5,5,27,1
1,2,2,4,4,5,5,5,28,1
1,2,2,4,5,5,5,5,29,1
1,2,2,5,5,5,5,5,30,1
1,2,3,3,3,3,3,3,21,0
1,2,3,3,3,3,3,4,22,0
1,2,3,3,3,3,3,5,23,0
1,2,3,3,3,3,4,4,23,0
1,2,3,3,3,3,4,5,24,0
1,2,3,3,3,3,5,5,25,1
1,2,3,3,3,4,4,4,24,0
1,2,3,3,3,4,4,5,25,1
1,2,3,3,3,4,5,5,26,1
1,2,3,3,3,5,5,5,27,1
1,2,3,3,4,4,4,4,25,1
1,2,3,3,4,4,4,5,26,1
1,2,3,3,4,4,5,5,27,1
1,2,3,3,4,5,5,5,28,1
1,2,3,3,5,5,5,5,29,1
1,2,3,4,4,4,4,4,26,1
1,2,3,4,4,4,4,5,27,1
1,2,3,4,4,4,5,5,28,1
1,2,3,4,4,5,5,5,29,1
1,2,3,4,5,5,5,5,30,1
1,2,3,5,5,5,5,5,31,1
1,2,4,4,4,4,4,4,27,1
1,2,4,4,4,4,4,5,28,1
1,2,4,4,4,4,5,5,29,1
1,2,4,4,4,5,5,5,30,1
1,2,4,4,5,5,5,5,31,1
1,2,4,5,5,5,5,5,32,1
1,2,5,5,5,5,5,5,33,1
1,3,3,3,3,3,3,3,22,0
1,3,3,3,3,3,3,4,23,0
1,3,3,3,3,3,3,5,24,0
1,3,3,3,3,3,4,4,24,0
1,3,3,3,3,3,4,5,25,1
1,3,3,3,3,3,5,5,26,1
1,3,3,3,3,4,4,4,25,1
1,3,3,3,3,4,4,5,26,1
1,3,3,3,3,4,5,5,27,1
1,3,3,3,3,5,5,5,28,1
1,3,3,3,4,4,4,4,26,1
1,3,3,3,4,4,4,5,27,1
1,3,3,3,4,4,5,5,28,1
1,3,3,3,4,5,5,5,29,1
1,3,3,3,5,5,5,5,30,1
1,3,3,4,4,4,4,4,27,1
1,3,3,4,4,4,4,5,28,1
1,3,3,4,4,4,5,5,29,1
1,3,3,4,4,5,5,5,30,1
1,3,3,4,5,5,5,5,31,1
1,3,3,5,5,5,5,5,32,1
1,3,4,4,4,4,4,4,28,1
1,3,4,4,4,4,4,5,29,1
1,3,4,4,4,4,5,5,30,1
1,3,4,4,4,5,5,5,31,1
1,3,4,4,5,5,5,5,32,1
1,3,4,5,5,5,5,5,33,1
1,3,5,5,5,5,5,5,34,1
1,4,4,4,4,4,4,4,29,1
1,4,4,4,4,4,4,5,30,1
1,4,4,4,4,4,5,5,31,1
1,4,4,4,4,5,5,5,32,1
1,4,4,4,5,5,5,5,33,1
1,4,4,5,5,5,5,5,34,1
1,4,5,5,5,5,5,5,35,1
1,5,5,5,5,5,5,5,36,1
2,2,2,2,2,2,2,2,16,0
2,2,2,2,2,2,2,3,17,0
2,2,2,2,2,2,2,4,18,0
2,2,2,2,2,2,2,5,19,0
2,2,2,2,2,2,3,3,18,0
2,2,2,2,2,2,3,4,19,0
2,2,2,2,2,2,3,5,20,0
2,2,2,2,2,2,4,4,20,0
2,2,2,2,2,2,4,5,21,0
2,2,2,2,2,2,5,5,22,0
2,2,2,2,2,3,3,3,19,0
2,2,2,2,2,3,3,4,20,0
2,2,2,2,2,3,3,5,21,0
2,2,2,2,2,3,4,4,21,0
2,2,2,2,2,3,4,5,22,0
2,2,2,2,2,3,5,5,23,0
2,2,2,2,2,4,4,4,22,0
2,2,2,2,2,4,4,5,23,0
2,2,2,2,2,4,5,5,24,0
2,2,2,2,2,5,5,5,25,1
2,2,2,2,3,3,3,3,20,0
2,2,2,2,3,3,3,4,21,0
2,2,2,2,3,3,3,5,22,0
2,2,2,2,3,3,4,4,22,0
2,2,2,2,3,3,4,5,23,0
2,2,2,2,3,3,5,5,24,0
2,2,2,2,3,4,4,4,23,0
2,2,2,2,3,4,4,5,24,0
2,2,2,2,3,4,5,5,25,1
2,2,2,2,3,5,5,5,26,1
2,2,2,2,4,4,4,4,24,0
2,2,2,2,4,4,4,5,25,1
2,2,2,2,4,4,5,5,26,1
2,2,2,2,4,5,5,5,27,1
2,2,2,2,5,5,5,5,28,1
2,2,2,3,3,3,3,3,21,0
2,2,2,3,3,3,3,4,22,0
2,2,2,3,3,3,3,5,23,0
2,2,2,3,3,3,4,4,23,0
2,2,2,3,3,3,4,5,24,0
2,2,2,3,3,3,5,5,25,1
2,2,2,3,3,4,4,4,24,0
2,2,2,3,3,4,4,5,25,1
2,2,2,3,3,4,5,5,26,1
2,2,2,3,3,5,5,5,27,1
2,2,2,3,4,4,4,4,25,1
2,2,2,3,4,4,4,5,26,1
2,2,2,3,4,4,5,5,27,1
2,2,2,3,4,5,5,5,28,1
2,2,2,3,5,5,5,5,29,1
2,2,2,4,4,4,4,4,26,1
2,2,2,4,4,4,4,5,27,1
2,2,2,4,4,4,5,5,28,1
2,2,2,4,4,5,5,5,29,1
2,2,2,4,5,5,5,5,30,1
2,2,2,5,5,5,5,5,31,1
2,2,3,3,3,3,3,3,22,0
2,2,3,3,3,3,3,4,23,0
2,2,3,3,3,3,3,5,24,0
2,2,3,3,3,3,4,4,24,0
2,2,3,3,3,3,4,5,25,1
2,2,3,3,3,3,5,5,26,1
2,2,3,3,3,4,4,4,25,1
2,2,3,3,3,4,4,5,26,1
2,2,3,3,3,4,5,5,27,1
2,2,3,3,3,5,5,5,28,1
2,2,3,3,4,4,4,4,26,1
2,2,3,3,4,4,4,5,27,1
2,2,3,3,4,4,5,5,28,1
2,2,3,3,4,5,5,5,29,1
2,2,3,3,5,5,5,5,30,1
2,2,3,4,4,4,4,4,27,1
2,2,3,4,4,4,4,5,28,1
2,2,3,4,4,4,5,5,29,1
2,2,3,4,4,5,5,5,30,1
2,2,3,4,5,5,5,5,31,1
2,2,3,5,5,5,5,5,32,1
2,2,4,4,4,4,4,4,28,1
2,2,4,4,4,4,4,5,29,1
2,2,4,4,4,4,5,5,30,1
2,2,4,4,4,5,5,5,31,1
2,2,4,4,5,5,5,5,32,1
2,2,4,5,5,5,5,5,33,1
2,2,5,5,5,5,5,5,34,1
2,3,3,3,3,3,3,3,23,0
2,3,3,3,3,3,3,4,24,0
2,3,3,3,3,3,3,5,25,1
2,3,3,3,3,3,4,4,25,1
2,3,3,3,3,3,4,5,26,1
2,3,3,3,3,3,5,5,27,1
2,3,3,3,3,4,4,4,26,1
2,3,3,3,3,4,4,5,27,1
2,3,3,3,3,4,5,5,28,1
2,3,3,3,3,5,5,5,29,1
2,3,3,3,4,4,4,4,27,1
2,3,3,3,4,4,4,5,28,1
2,3,3,3,4,4,5,5,29,1
2,3,3,3,4,5,5,5,30,1
2,3,3,3,5,5,5,5,31,1
2,3,3,4,4,4,4,4,28,1
2,3,3,4,4,4,4,5,29,1
2,3,3,4,4,4,5,5,30,1
2,3,3,4,4,5,5,5,31,1
2,3,3,4,5,5,5,5,32,1
2,3,3,5,5,5,5,5,33,1
2,3,4,4,4,4,4,4,29,1
2,3,4,4,4,4,4,5,30,1
2,3,4,4,4,4,5,5,31,1
2,3,4,4,4,5,5,5,32,1
2,3,4,4,5,5,5,5,33,1
2,3,4,5,5,5,5,5,34,1
2,3,5,5,5,5,5,5,35,1
2,4,4,4,4,4,4,4,30,1
2,4,4,4,4,4,4,5,31,1
2,4,4,4,4,4,5,5,32,1
2,4,4,4,4,5,5,5,33,1
2,4,4,4,5,5,5,5,34,1
2,4,4,5,5,5,5,5,35,1
2,4,5,5,5,5,5,5,36,1
2,5,5,5,5,5,5,5,37,1
3,3,3,3,3,3,3,3,24,0
3,3,3,3,3,3,3,4,25,1
3,3,3,3,3,3,3,5,26,1
3,3,3,3,3,3,4,4,26,1
3,3,3,3,3,3,4,5,27,1
3,3,3,3,3,3,5,5,28,1
3,3,3,3,3,4,4,4,27,1
3,3,3,3,3,4,4,5,28,1
3,3,3,3,3,4,5,5,29,1
3,3,3,3,3,5,5,5,30,1
3,3,3,3,4,4,4,4,28,1
3,3,3,3,4,4,4,5,29,1
3,3,3,3,4,4,5,5,30,1
3,3,3,3,4,5,5,5,31,1
3,3,3,3,5,5,5,5,32,1
3,3,3,4,4,4,4,4,29,1
3,3,3,4,4,4,4,5,30,1
3,3,3,4,4,4,5,5,31,1
3,3,3,4,4,5,5,5,32,1
3,3,3,4,5,5,5,5,33,1
3,3,3,5,5,5,5,5,34,1
3,3,4,4,4,4,4,4,30,1
3,3,4,4,4,4,4,5,31,1
3,3,4,4,4,4,5,5,32,1
3,3,4,4,4,5,5,5,33,1
3,3,4,4,5,5,5,5,34,1
3,3,4,5,5,5,5,5,35,1
3,3,5,5,5,5,5,5,36,1
3,4,4,4,4,4,4,4,31,1
3,4,4,4,4,4,4,5,32,1
3,4,4,4,4,4,5,5,33,1
3,4,4,4,4,5,5,5,34,1
3,4,4,4,5,5,5,5,35,1
3,4,4,5,5,5,5,5,36,1
3,4,5,5,5,5,5,5,37,1
3,5,5,5,5,5,5,5,38,1
4,4,4,4,4,4,4,4,32,1
4,4,4,4,4,4,4,5,33,1
4,4,4,4,4,4,5,5,34,1
4,4,4,4,4,5,5,5,35,1
4,4,4,4,5,5,5,5,36,1
4,4,4,5,5,5,5,5,37,1
4,4,5,5,5,5,5,5,38,1
4,5,5,5,5,5,5,5,39,1
5,5,5,5,5,5,5,5,40,1
